,refListId_actual,Rssi,classe
0,5,-47.0,0
1,5,-62.0,0
2,5,-47.0,1
3,5,-68.0,1
4,5,-66.0,1
5,5,-53.0,1
6,5,-62.0,1
7,5,-56.0,1
8,5,-63.0,1
9,5,-66.0,0
10,5,-47.0,1
11,5,-57.0,1
12,5,-64.0,1
13,5,-63.0,1
14,5,-57.0,1
15,5,-56.0,1
16,5,-65.0,0
17,5,-59.0,1
18,5,-61.0,1
19,5,-64.0,1
20,5,-56.0,1
21,5,-61.0,1
22,5,-66.0,1
23,5,-68.0,0
24,5,-67.0,0
25,5,-68.0,0
26,5,-68.0,0
27,5,-63.0,1
28,5,-57.0,1
29,5,-59.0,1
30,5,-65.0,0
31,5,-60.0,1
32,5,-63.0,1
33,5,-61.0,1
34,5,-64.0,1
35,5,-58.0,0
36,5,-48.0,1
37,5,-54.0,1
38,5,-56.0,1
39,5,-60.0,1
40,5,-48.0,1
41,5,-48.0,1
42,5,-49.0,1
43,5,-49.0,1
44,5,-45.0,1
45,5,-58.0,1
46,5,-66.0,0
47,5,-61.0,0
48,5,-65.0,0
49,5,-51.0,1
50,5,-47.0,1
51,5,-42.0,1
52,5,-63.0,1
53,5,-55.0,1
54,5,-50.0,1
55,5,-48.0,1
56,5,-59.0,1
57,5,-57.0,1
58,5,-47.0,1
59,5,-45.0,1
60,5,-44.0,1
61,5,-42.0,1
62,5,-46.0,1
63,5,-57.0,1
64,5,-45.0,1
65,5,-53.0,1
66,5,-45.0,1
67,5,-55.0,1
68,5,-44.0,1
69,5,-47.0,1
70,5,-47.0,1
71,5,-43.0,1
72,5,-68.0,1
73,5,-68.0,0
74,5,-44.0,1
75,5,-47.0,1
76,5,-66.0,1
77,5,-42.0,1
78,5,-52.0,1
79,5,-44.0,1
80,5,-56.0,1
81,5,-47.0,1
82,5,-43.0,1
83,5,-47.0,1
84,5,-43.0,1
85,5,-48.0,1
86,5,-48.0,1
87,5,-45.0,1
88,5,-63.0,1
89,5,-44.0,1
90,5,-47.0,1
91,5,-59.0,1
